Name;Address;Location;Price;Cuisine;Longitude;Latitude;PhoneNumber;Url;WebsiteUrl;Award;GreenStar;FacilitiesAndServices;Description
Rutz;Chausseestraße 8, Berlin, 10115, Germany;Berlin, Germany;€€€€;Modern Cuisine, Creative;13.3860867;52.5283507;4,93025E+11;https://guide.michelin.com/en/berlin-region/berlin/restaurant/rutz;https://rutz-restaurant.de/;3 Stars;1;Air conditioning,Interesting wine list,Terrace;"Marco Müller’s ""Inspiration"" tasting menu unfolds as a culinary journey, shaped by a clear personal style and a skilfully constructed narrative arc. The service team explains the ideas behind the dishes in a pleasingly relaxed and informal manner, and is always happy to answer questions. The kitchen works with remarkable precision, yet the cooking retains a sense of effortlessness and balance. With only a few components, the dishes seem minimalist, but are packed with details that lend them exceptional depth. One standout dish is the tender, flawlessly cooked Oldenburg Wagyu with an umami-rich beef garum, crisp kohlrabi strips and a hollandaise brimming with intensity. Even adventurous pairings, like North Sea squid with red cabbage, work remarkably well. Ingredients are sourced from carefully selected suppliers known personally to the chef, all of exceptional quality. The set menu comprises 12 or 13 ""inspirations"", with an optional caviar course available. The terrace, small but welcoming, is the ideal spot in summer."
Maaemo;Dronning Eufemias gate 23, Oslo, 0194, Norway;Oslo, Norway;€€€€;Creative;10.7586363;59.9075293;4722179969;https://guide.michelin.com/en/oslo-region/oslo/restaurant/maaemo-1194933;https://www.maaemo.no;3 Stars;1;Air conditioning,Interesting wine list;Time seems to stand still when you dine at this truly exceptional restaurant, such is its overwhelming quality. The unique dining experience begins with a drink in the cosy lounge before moving into a dramatic, high-ceilinged dining room with a theatrically lit open kitchen. A surprise seasonal tasting menu comprises a succession of expertly crafted, consistently memorable dishes that deliver sublime flavours and textures in superbly conceived combinations.
RE-NAA;Nordbøgata 8, Stavanger, 4006, Norway;Stavanger, Norway;€€€€;Creative, Seafood;5.7308447;58.9739705;4751551111;https://guide.michelin.com/en/rogaland/stavanger/restaurant/re-naa;https://www.restaurantrenaa.no/;3 Stars;0;Air conditioning,Interesting wine list,Wheelchair access;The kitchen quite literally takes centre stage at this impeccable restaurant, sitting in the middle of the stylish room and providing a stage for the chefs to prepare intricate, superbly crafted dishes. Top-notch local fish and shellfish underpins the cooking, with supreme skill evident in the refined balance between the delicate seafood flavours and some stronger components – the grilled scallop with sea buckthorn and pumpkin sauce is a perfect example. The menu has around 20 servings and every aspect unfolds masterfully thanks to the exceptional kitchen and service teams.
Frantzén;Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden;Stockholm, Sweden;€€€€;Creative;18.0597575;59.3341673;468208580;https://guide.michelin.com/en/stockholm-region/stockholm/restaurant/frantzen;https://www.restaurantfrantzen.com/;3 Stars;0;Air conditioning,Counter dining,Interesting wine list;World-renowned Chef Björn Frantzén provides a truly immersive experience that you won't forget in a hurry at his uber-stylish restaurant. Ring the bell to enter, before enjoying an aperitif in the top-floor lounge while the day's ingredients are explained, then head to the dining room with its beautiful counter seating to witness the exceptionally talented chefs at work as they craft creative, perfectly executed dishes. The service works like clockwork to enhance the experience.
Jordnær;Gentoftegade 29, Gentofte, 2820, Denmark;Gentofte, Denmark;€€€€;Creative;12.5412347;55.7481416;4522408020;https://guide.michelin.com/en/capital-region/gentofte_1373269/restaurant/jordnaer;https://www.restaurantjordnaer.dk/;3 Stars;0;Car park,Interesting wine list;Chef-Owner Eric Kragh Vildgaard is the driving force behind this remarkable dining experience, demonstrating enormous technical skill across his procession of bold and creative dishes, all founded on seafood and vegetable produce of the utmost quality. The cooking varies between the wisely restrained (the pure, precise hamachi, ponzu and wasabi) and the hyper-detailed (the stunningly plated, multi-layered chawanmushi). Tina oversees the charming service in this stylish and sophisticated oasis, which is expertly run at every turn.
Geranium;Per Henrik Lings Allé 4, Parken National Stadium, Copenhagen, 2100 Ø, Denmark;Copenhagen, Denmark;€€€€;Creative, Contemporary;12.5720951;55.703472;4569960020;https://guide.michelin.com/en/capital-region/copenhagen/restaurant/geranium;https://www.geranium.dk/;3 Stars;0;Air conditioning,Great view,Interesting wine list,Wheelchair access;The 8th floor of the Parken Stadium – home to F.C. Copenhagen and the Danish national team – is the unlikely setting for Rasmus Kofoed’s luxurious, world-class restaurant that’s in a league of its own. Panoramic park views are accompanied by around 15 meticulously prepared, beautifully presented courses, with each one as highly creative and impeccably precise as the last. Totally eschewing meat, the first-rate ingredients include biodynamic vegetables, foraged plants and berries, and seafood from non-endangered species. A stunningly stocked wine cellar rounds out the experience.
Hiša Franko;Staro selo 1, Kobarid, 5222, Slovenia;Kobarid, Slovenia;€€€€;Creative, Regional Cuisine;13.5378132;46.247312;38653894120;https://guide.michelin.com/en/gorizia/kobarid/restaurant/hisa-franko;https://www.hisafranko.com/;3 Stars;1;Air conditioning,Car park,Interesting wine list,Wheelchair access;Few kitchens reflect their chef’s personality as clearly as Chef Ana Roš Stojan’s. Her strong, determined character and infectious warmth find perfect expression in a single tasting menu where dishes possess bold, decisive flavors with no compromise. Each course is a discovery: local ingredients and Slovenian traditions converse with international influences, balanced through refinement, taste, and technical precision. The Orme menu traces this journey with distinctly characterized yet elegant dishes, animated by a note of vivacious and refined freshness. Dishes that captivate on sight through a meticulous, colorful presentation, while surprising at every bite. Among the most compelling offerings are the Cappelletti, “Saporito delle valli” with tonka and fig leaves: the creaminess of the sauce and balanced flavors create a singular experience. Among the house specialties, which are nearly always on the menu, don’t miss the corn beignet with fermented ricotta cheese and smoked trout roe, and the hay-baked potatoes with fenugreek and roasted yeast-infused sour cream – dishes that authentically express the chef’s identity. Completing the experience, the service is impeccable, orchestrated by a young, cohesive team who guide guests with professionalism, ease, and passion, eloquently describing dishes and suggesting targeted wine pairings. For overnight guests, breakfast is unmissable: generous, colorful, and meticulously composed.
Trèsind Studio;St. Regis Gardens, The Palm Jumeirah, Dubai;Dubai;$$$$;Indian;55.1391176;25.114932;9,71589E+11;https://guide.michelin.com/en/dubai-emirate/dubai/restaurant/tresind-studio;https://tresindstudio.com/;3 Stars;0;Air conditioning,Valet parking;The surprise multi-course tasting menu is a masterpiece of originality, intrigue and precision, featuring flavours and tastes from all four compass points of India. While the chefs work away with quiet diligence and focus in the open kitchen, the service team provide detailed explanations of each elegant creation. A little theatre here and there with certain courses adds to an unforgettable experience. There’s something magical happening here – and with just 15 seats and a rooftop location – you’ll feel you’re in on the secret. Pro tip: arrive to dinner a little earlier to enjoy signature cocktails at the Popadom Botanic Bar.
Grande Étoile;Bastionstraße 16, Düsseldorf, 40213, Germany;Düsseldorf, Germany;€€€;Modern Cuisine, French;6.775079;51.221634;4,92112E+12;https://guide.michelin.com/en/nordrhein-westfalen/dusseldorf/restaurant/grande-etoile;https://www.grande-etoile.com/;Selected Restaurants;0;Air conditioning,Terrace;This restaurant in the Carlstadt district is a masterclass in chic: shimmering gold, velvet, striking chandeliers and stylish Art Deco features create a trendy, elegant atmosphere. It serves up flavourful, well-executed dishes from a menu featuring French brasserie classics as well as Italian influences: beef bourguignon, beef tartare, pasta, vitello al limone... Service is professional and friendly. Head there in the evening for the cocktail bar and DJs, who underscore the Parisian club vibe.
Goldener Engel;Bachenstraße 27, Ihringen, 79241, Germany;Ihringen, Germany;€€;Regional Cuisine;7.6472096;48.0439756;4,97669E+11;https://guide.michelin.com/en/baden-wurttemberg/ihringen/restaurant/goldener-engel;https://engel-ihringen.de/;Selected Restaurants;0;Car park,Credit cards not accepted,Terrace;Steeped in tradition and brimming with regional charm, this establishment is staffed by a young and adept team who deliver pleasingly down-to-earth yet ambitious cuisine. While the friendly proprietress Emma Ambs, who hails from a family of restaurateurs in the next village, attentively manages the service, Simon Bantle (a veteran of various MICHELIN-starred kitchens) fuses hearty traditional fare with classic French recipes. The dishes are meticulously prepared, packed with flavour and delightfully unpretentious – think jellied veal tripe with fried potatoes, or braised ox cheeks with Ihringen pinot noir jus, served with creamed kohlrabi, kohlrabi purée and pommes dauphine. Featuring labels from the region, as well as elsewhere in Germany and beyond, the well-curated wine list is worth exploring. Modern guestrooms are available in the adjoining hotel of the same name.
