Name;Address;Location;Price;Cuisine;Longitude;Latitude;PhoneNumber;Url;WebsiteUrl;Award;GreenStar;FacilitiesAndServices;Description
Sorekara;4979 New Broad St., Orlando, FL, 32814, USA;Orlando, FL, USA;$$$$;Japanese, Contemporary;-81.3259631;28.5689965;;https://guide.michelin.com/en/florida/orlando/restaurant/sorekara;https://sorekarafl.com;2 Stars;0;Air conditioning,Car park,Counter dining,Interesting wine list;"In a world of uniformity, Sorekara proudly forges its own path. This Baldwin Park restaurant is unlike anywhere else you've been, offering a surprising and delightful culinary journey that revels in turning expectations on their head. Chef/owner William Shen's tasting menu highlights Japan's 72 micro seasons with highly original dishes infused with a sense of whimsy (note the course designed to mimic a convenience store snack run or the ""nigiri""). Whether it's madai sporting a distinctive riff on tradition or a deeply savory bowl of kegani sourced from Hokkaido, there is an elegance and refinement threaded throughout the meal, which progresses through multiple rooms across several hours. Another hint that this is far from typical? Sorekara is open for one seating only a few nights a week."
Aramburu;Vicente López 1661, Buenos Aires, C1018ABA, Argentina;Buenos Aires, Argentina;$$$$;Creative;-58.3891732;-34.5916443;5,41148E+11;https://guide.michelin.com/en/ciudad-autonoma-de-buenos-aires/buenos-aires_777009/restaurant/aramburu;https://www.arambururesto.com.ar;2 Stars;0;Air conditioning;Original snacks, maritime-inspired light bites teeming with flavour and delicacy, surprising dishes that establish a dialogue with seasonal produce, and exquisite Angus beef served with a ulva taco are all part of the gastronomic experience at this restaurant located in the heart of the Recoleta district, with access via the pleasant Pasaje del Correo. This is one of those places that everyone is talking about thanks to its high levels of cuisine. Here, chef Gonzalo Aramburu, who can often be seen from the dining room working the stoves alongside his team, focuses on a single surprise tasting menu (around 18 courses) that aims to combine innovation, technique and aesthetics through the use of the best Argentinian ingredients. For dessert, coffee and a post-dinner cocktail, guests need to head up to the first floor, where a private room is also available. Haute cuisine with an Argentinian soul!
La Cime;3-2-15 Kawaramachi, Chuo-ku, Osaka, 541-0048, Japan;Osaka, Japan;¥¥¥¥;French, Contemporary;135.503519;34.685818;81662222010;https://guide.michelin.com/en/osaka-region/osaka/restaurant/la-cime;https://www.la-cime.com/;2 Stars;0;Air conditioning;Yusuke Takada unravels the mysteries of the classics while pursuing the modern. Takada is the author of a new French cuisine, one imbued with the essence of Japan. Takada’s aim in using traditional ingredients such as kudzu vine, tofu skin, miso and wasabi is to proclaim the goodness of foodstuffs grown and raised in Japan. Cultural elements from Osaka and his native Amami ?shima weave together into a story that is unique and fascinating.
Miyamoto;2-10-28 Higashitemma, Kita-ku, Osaka, 530-0044, Japan;Osaka, Japan;¥¥¥¥;Japanese;135.513189;34.698372;81668096990;https://guide.michelin.com/en/osaka-region/osaka/restaurant/miyamoto;https://oryori-miyamoto.com/;2 Stars;0;Air conditioning,Counter dining,Shoes must be removed;"The crockery forms an essential part of the cuisine of Miyamoto. From a collection years in the making, each item is carefully selected to complement the item served on it. The arrangements remain simple to let this harmony shine, and there is a refreshing honesty in the chef’s unstinting use of ingredients. He honours the customs of Japanese cuisine yet cooks unbound by theory; he aspires to run a restaurant where he freely creates what is simply delicious. House-made udon is prepared according to the season. The purity of white rice cleanses the soul."
Fujiya 1935;2-4-14 Yariyamachi, Chuo-ku, Osaka, 540-0027, Japan;Osaka, Japan;¥¥¥¥;Innovative;135.511871;34.683037;81669412483;https://guide.michelin.com/en/osaka-region/osaka/restaurant/fujiya-1935;https://fujiya1935.com/;2 Stars;0;Air conditioning;Out of childhood experiences and the landscapes of rural valleys, the chef creates cuisine that reverberates in all five senses. The spectacle of colourful arrangements, the sound and texture of each bite, the aroma, and of course the taste all harmonise and sizzle as one course follows another. The couple who run the kitchen deliver an illustrated message to the table as a sign of the season.
Koryu;3-3-3 Uchiawajimachi, Chuo-ku, Osaka, 540-0038, Japan;Osaka, Japan;¥¥¥¥;Japanese;135.510132;34.686929;8,15032E+11;https://guide.michelin.com/en/osaka-region/osaka/restaurant/koryu;https://www.koryu.net/;2 Stars;0;Air conditioning,Counter dining;A willow tree bending to describe an arc is the symbol of the restaurant and the meaning of its name. In this modern sukiya-type interior, the arc bends toward a wickerwork ceiling. Koryu’s location on the river’s edge reminds you that Osaka is known as the ‘City of Water’. The aim of the house is to be true to its Naniwa (Osaka) roots. The sumptuously arranged “Naniwa” sashimi platter is a remarkable sight. Traditional vegetables also befit the Osaka cuisine. Like the willow tree, Koryu applies a supple creative spirit to a solid foundation.
Yugen;14-14 Ishigatsujicho, Tennoji-ku, Osaka, 543-0031, Japan;Osaka, Japan;¥¥¥¥;Japanese;135.521663;34.664773;8,15036E+11;https://guide.michelin.com/en/osaka-region/osaka/restaurant/yugen-1193266;https://www.yugen-osaka.jp/;2 Stars;0;Air conditioning,Counter dining;Yugen means ‘mysterious profundity’, grace whose depths can never be plumbed. It connotes the depths of Japanese cuisine, a product of constant refinement through the ages. Keisuke Mifune puts on display the skills and instincts he honed at a ryotei. He pays attention to combinations of ingredients and dishware, expressing the changing of the seasons through his menu. A Fukuoka native, the chef furnishes the bounty of Kyushu in the form of seafood from the Genkai Sea and the Goto Islands.
Shunsaiten Tsuchiya;41-4 Toyotsucho, Suita, Osaka, 564-0051, Japan;Osaka, Japan;¥¥¥;Tempura, Japanese;135.490966;34.760534;81663382288;https://guide.michelin.com/en/osaka-region/osaka/restaurant/shunsaiten-tsuchiya;https://www.shunsaiten-tsuchiya.com/;2 Stars;0;Air conditioning,Car park,Counter dining;"Techniques from every genre of Japanese cuisine are used for tempura; items may be pre-cooked or lightly scored and seasoned to bring out their natural flavour before frying. Keen to highlight Kansai ingredients, the chef stocks octopus, pike conger and tilefish. Osaka flourished as a centre of cotton production, so the chef cooks with a unique cottonseed oil in solidarity with producers. A beacon of Naniwa food culture to the world, with imaginative twists."
Sushi Harasho;3-30 Uenomiyacho, Tennoji-ku, Osaka, 543-0037, Japan;Osaka, Japan;¥¥¥;Sushi;135.51986;34.662195;81667735518;https://guide.michelin.com/en/osaka-region/osaka/restaurant/sushi-harasho;https://sushi-harasho.jp/;2 Stars;0;Air conditioning,Counter dining;"The stately tea-house interior and Japanese-style painting of the spray from a waterfall enfold guests in an atmosphere of tranquillity. Proclaiming a no-nonsense approach to sushi, the two chefs restrict seasoning and other preparations to the bare minimum. They add no sugar to the sushi rice, the better to draw out the natural sweetness of fish and rice. Tuna is marinated in soy sauce only briefly; conger eel dressed in sauce that is only slightly sweet. As they form sushi by hand, both chefs focus on the basics of rice, wasabi, vinegar and fish."
Yusokuryori Mankamero;387 Ebisucho, Kamigyo-ku, Kyoto, 602-8118, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.750507;35.022114;81754415020;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/yusokuryori-mankamero;https://www.mankamerou.com/;2 Stars;0;Air conditioning,Shoes must be removed;This long-serving restaurant was built as a general store and traded as a sake dealer before transforming into a ryotei. In continuous operation since its founding three centuries ago, Mankamero has preserved tradition by constantly changing. Heir to the tradition of ‘yusoku ryori’, banquet fare served at imperial court functions, the restaurant carries on the Ikama school of ‘shikibocho’, the ceremonial art of knife handling that unites cookery with etiquette—faithfully preserved to the present day. Seasons are reflected everywhere, from the elegant Kyoto kaiseki to the arrangements, serving vessels and even the leaves and other underlays beneath the food. A taste of history, handed down in unbroken tradition.
Sanso Kyoyamato;359 Masuyacho, Higashiyama-ku, Kyoto, 605-0826, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.78139;34.999252;81755251555;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/sanso-kyoyamato;https://www.kyoyamato.com/;2 Stars;0;Air conditioning,Great view,Shoes must be removed;During the short walk from the front gate to the main buildings, guests can appreciate the history of the buildings while feeling the presence of nature. Classic aesthetics pervade the entire site, from the sukiya design of the buildings to the space reflecting seasonal ceremonies and views of the garden. The chef wants every aspect of Sanso Kyoyamato to be beautiful, so he takes special care with the refinement of his food arrangements and their elegant flavours. The painstaking service of the proprietress and hostess is an agreeable presence. Diners will sense a complete work of Japanese art.
Ogata;726 Shinkamanzacho, Shimogyo-ku, Kyoto, 600-8471, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.755967;35.003191;81753448000;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/ogata;;2 Stars;0;Air conditioning,Counter dining;Bold, elegant cuisine, stripped down and pure, sets off works by Rosanjin and other artists. Avoiding piling element upon element, Ogata finds creativity in deceptively unsophisticated appearances. Technique is guided by intuition gained from each ingredient or inspired by seasonal expressions. Seasonal aesthetics are manifested through the choice of ingredients, revealing the natural vitality of each.
Kyokaiseki Kichisen;5 Shimogamo Morimotocho, Sakyo-ku, Kyoto, 606-0805, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.771236;35.035717;81757116121;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kyokaiseki-kichisen;https://www.kichisen-kyoto.com/;2 Stars;0;Air conditioning,Counter dining,Shoes must be removed;Next to Shimogamo Shrine, surrounded by the Tadasu-no-Mori forest, lies Kyokaiseki Kichisen. The chef, a devotee of Japanese cuisine and the performing arts, built a ryotei on this spot. Respectful of Kyoto traditions, menu items are accompanied by charming details. Lids of soup dishes are emblazoned with dew, expressing freshness. Tuna sashimi is arrayed like a sea of clouds, creating a fairytale-like scene. Serving dishes of Kyoyaki ceramics, garnished with fresh-cut flowers, beguile the eyes. A unique interpretation of Kyoto kaiseki, accompanied by the spirit of graceful service.
Gion Nishikawa;473 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.778857;34.999797;81755251776;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/gion-nishikawa;https://gion-nishikawa.co.jp;2 Stars;0;Air conditioning,Counter dining;The chef selects ingredients in a way that treasures interaction with food producers. Against a backdrop of kombu boxes, decorating his walls like hanging scrolls, he prepares his dishes in a spirit of gratitude. His principle is that true flavours are subtle. In wanmono, he aims for a light flavour that brings out the umami of the makombu. But cooking is not the only thing that bewitches diners at Gion Nishikawa. The sukiya design of the interior makes the mood of old Gion palpable, while the chef’s affable personality keeps the room ringing with conversation and laughter.
Otagi;18 Takagamine Tsuchitenjocho, Kita-ku, Kyoto, 603-8465, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.73416;35.050744;81754921771;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/otagi;https://otagi-kyoto.jp/;2 Stars;0;Air conditioning,Car park,Counter dining;The shop stands in Takagamine, a hilly area in northern Kyoto. Out of affection for the land where he was born and raised, the chef makes a point of using the region’s produce. Vegetables come from a nearby field cultivated by an old friend. The juiciness of freshly harvested foods and the aroma of the good earth leap from every dish. The meal ends with white rice with one of a variety of toppings, such as raw egg and soy sauce, cooked egg, or hashed beef. Enjoyable and satisfying right to the very end.
Numata;7F, 1-10-2 Sonezakishinchi, Kita-ku, Osaka, 530-0002, Japan;Osaka, Japan;¥¥¥¥;Tempura;135.497901;34.697954;81663470707;https://guide.michelin.com/en/osaka-region/osaka/restaurant/numata;https://www.tenpura-tenboshi.com/tenboshi/numata.html;2 Stars;0;Air conditioning,Counter dining;"The tempura fried by the chef as his heart dictates comes out refined. To bring the flavour of carefully selected ingredients, the main oil of choice is Taihaku sesame oil. The coating is infused with bubbles, giving it a light texture. In a distinctive presentation style, seafood and vegetables that work well together are served in alternating pairs. The final dish is the guest’s choice of tendon, tempura over rice; tencha, tendon steeped in roasted green tea; or tenmusu, onigiri filled with shrimp tempura. The chef does not neglect training the next generation, either, entrusting understudies with running his branch restaurants."
KAHALA;2F, 1-9-2 Sonezakishinchi, Kita-ku, Osaka, 530-0002, Japan;Osaka, Japan;¥¥¥¥;Innovative;135.499685;34.697522;81663456778;https://guide.michelin.com/en/osaka-region/osaka/restaurant/kahala;;2 Stars;0;Air conditioning,Counter dining;Over half a century since he opened his restaurant, Yoshifumi Mori remains vigorously engaged in food preparation. His passion seems unquenchable: with rice flour and salt, he created a seasoning that melts away like snow. He makes wine and even grows rice. Scouring every region of Japan, the chef seeks out unknown ingredients and introduces them to the world. All this has led to Mori being honoured by the Ministry of Agriculture, Forestry and Fisheries. Like a steel plate polished until gleaming, he continues to sharpen his culinary sensibilities.
Oimatsu Hisano;4-8-3 Nishitemma, Kita-ku, Osaka, 530-0047, Japan;Osaka, Japan;¥¥¥¥;Japanese;135.504137;34.697005;81663146202;https://guide.michelin.com/en/osaka-region/osaka/restaurant/oimatsu-hisano;https://www.oimatsuhisano.com/;2 Stars;0;Air conditioning,Counter dining;The chef interprets the seasons through kaiseki, adding twists and tricks that make the cuisine his own. To express each season, appetisers are accompanied by leaves collected on hill and dale and a slim strip of paper is inscribed with a seasonal phrase. White rice, cooked in clay pots, is specially selected and treated. Rice grown in serpentinite soil, with its rich mineral content, is seasoned with salt and soy sauce to bring out umami and flavour. In a unique touch, scorched rice is served like a rice cracker. The basics of Japanese cuisine are safely guarded, yet imagination has room to run.
Miyamaso;375 Hanase Harachicho, Sakyo-ku, Kyoto, 601-1102, Japan;Kyoto, Japan;¥¥¥;Japanese;135.793011;35.233154;81757460231;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/miyamaso;https://miyamasou.jp/;2 Stars;1;Air conditioning,Car park,Shoes must be removed,Valet parking;Built originally as pilgrims’ lodgings for Bujoji Temple, this dining inn is nestled amid swaying trees, a murmuring river and singing birds. Time passes gently here, surrounded by the majestic beauty of nature. Hisato Nakahigashi reflects the turning of the seasons. Budding wild grasses of Hanase and plants complement the vitality of river fish and game. Scenes of natural beauty dance before your eyes. Feast on the bounty of rural hills and streams.
Sumibi Kappo Ifuki;570-8 Giommachi Minamigawa, Higashiyama-ku, Kyoto, 605-0074, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.775255;35.002345;81755256665;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/sumibi-kappo-ifuki;https://gion-ifuki.com/;2 Stars;0;Air conditioning,Counter dining,Shoes must be removed;"As an apprentice, while honing his skills in simmering and cooking, the chef discovered a love for grilling. The delicious taste of char-grilled boar impressed him and sparked his curiosity. Placing his grill at the centre of his kitchen, he hung out his shingle as a char-grill kappo. The bounty of mountain and ocean are roasted and slipped into the soup and dressed vegetables. Guests can choose between grilled fish or beef; game is also available in winter. Artful manipulation of the flame wreathes each item in the aroma of charcoal smoke."
Kenninji Gion Maruyama;566-15 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.774574;34.998809;81755250009;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kenninji-gion-maruyama;https://gionmaruyama.com/;2 Stars;0;Air conditioning,Shoes must be removed;Situated on the south side of Kennin-ji Temple, the restaurant looks out on Yasaka Pagoda. Pass through the elegant gate, have a seat in the waiting area, and relax in the courtyard cooled with sprinkled water. The proprietor welcomes guests with the four-fold etiquette of the wabi-cha school of tea ceremony: harmony, respect, purity and tranquillity. In cuisine, he prizes the five unseen senses, with care paid to light, sound, temperature, fragrance and taste. Even the water is steeped in history, tradition and the four seasons. Unseen yet deep and strong are the roots of Kyoto culture here.
Kodaiji Wakuden;512 Washiocho, Higashiyama-ku, Kyoto, 605-0072, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.779734;35.001635;81755333100;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kodaiji-wakuden;https://www.wakuden.jp/;2 Stars;1;Air conditioning,Counter dining,Shoes must be removed;This ryotei began life as a restaurant and ryokan in Kyotango. With the rustic beauty of the Tango countryside and the refinement of Kyoto as its themes, Kodaiji Wakuden is opening a new era in ryotei culture. Crab, a speciality of the restaurant’s birthplace, is cooked in a sunken hearth, a hole strikingly carved in the middle of tatami seating. Also remarkable is the tradition of this establishment, the flagship of the Wakuden group of restaurants, of appointing carefully selected young chefs to run it, to invite the fresh breeze of new ideas, guided by a philosophy of constant innovation.
Kikunoi Roan;118 Saitocho, Shimogyo-ku, Kyoto, 600-8012, Japan;Kyoto, Japan;¥¥¥;Japanese;135.770647;35.003449;81753615580;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kikunoi-roan;https://kikunoi.jp/;2 Stars;0;Air conditioning,Counter dining;The name ‘Roan’ derives from a Zen expression meaning ‘clear and unambiguous, hiding nothing’. To ensure the complete transparency of his work at Kikunoi, Yoshiharu Murata does all his food preparation in front of guests, at the counter. The opportunity to take in the dynamic activity in the kitchen while dining sets Roan apart from the flagship restaurant, a ryotei. Chatting with chefs as you enjoy dishes fresh from the kitchen is one of the pleasures of the kappo.
Tenjimbashi Aoki;7-12-14 Tenjimbashi, Kita-ku, Osaka, 531-0041, Japan;Osaka, Japan;¥¥¥¥;Japanese;135.511084;34.71394;81669400403;https://guide.michelin.com/en/osaka-region/osaka/restaurant/tenjimbashi-aoki;;2 Stars;0;Air conditioning,Counter dining;Scrupulous attention is paid to the ceremonial space, cuisine, serving vessels and sense of the seasons. The chef learned his guiding principles at a restaurant in Hozenji Alley. Entrusted with preparing the appetiser platters, he became schooled in the knowledge and aesthetics of Japanese cuisine. Aiming for artistic beauty in all aspects, he grows his own flowers to decorate the sukiya interior and collects seasonal serving vessels to delight guests. Technique, experience and sensibility all merge to create assortments of dishes that celebrate the seasons and their festivals.
Sojiki Nakahigashi;32-3 Jodoji Ishibashicho, Sakyo-ku, Kyoto, 606-8406, Japan;Kyoto, Japan;¥¥¥;Japanese;135.792708;35.027601;81757523500;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/sojiki-nakahigashi;https://soujiki-nakahigashi.jp/;2 Stars;1;Air conditioning,Counter dining;The wooden tablet at the entrance expresses the house credo: ‘Garnish rice cooked in the okudo stove with char-grilled snacks and wild grasses and flowers’. To learn more, you’ll have to visit the restaurant yourself. In an age of information exchange, Nakahigashi offers an opportunity to clear one’s mind and experience cuisine of herbs and grasses. In short, be grateful to others and for the bounty of nature, remembering that the truly important things cannot be seen with the eyes. An experience of noticing things awaits.
Kodaiji Jugyuan;353 Masuyacho, Higashiyama-ku, Kyoto, 605-0826, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.781565;34.998694;81755336060;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/kodaiji-jugyuan;https://jugyuan.jp/;2 Stars;0;Air conditioning,Car park,Counter dining,Shoes must be removed;The ryotei sits on a sprawling 6,600 sqm property. The aesthetic of old Japan pulses through the veins of this establishment, from the impressive gate and garden sculpted by a gardener of rare talent to the house crafted by a master of sukiya-style construction. The interior includes private rooms, some complete with counters-style setups reflecting modern preferences. Ingredients are carefully selected from producers throughout Japan. The restaurant tries to be subtly ahead of the times by, for example, applying Western flame techniques to meat dishes and serving them as accompaniments to sake.
Gion Matayoshi;570-123 Giommachi Minamigawa, Higashiyama-ku, Kyoto, 605-0074, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.774545;35.003349;81755510117;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/gion-matayoshi;;2 Stars;0;Air conditioning,Counter dining,Notable sake list;‘Strive for simplicity, elevated by technique’ is the chef’s credo. Prizing seasonal flavours above all, he visits production areas the length and breadth of Japan. At first glance, the food arrangements and serving-ware appear ordinary, but each detail reveals the meaning of Japanese cuisine and patiently cultivated skill. Experience the graceful culture and hospitality of the tea ceremony, learned at a long-established ryokan, in a counter dining setting.
Gion Maruyama;570-171 Giommachi Minamigawa, Higashiyama-ku, Kyoto, 605-0074, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.776068;35.002587;81755250009;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/gion-maruyama;https://gionmaruyama.com/;2 Stars;0;Air conditioning,Counter dining,Shoes must be removed;Flowers are arranged, the ceremonial space is well appointed, serving vessels are carefully chosen. The tea ceremony spirit pervades Gion Maruyama’s graceful service. The Gion location is a ryotei but, in a modern touch, it also features counter seating. The chef has spent many years seeking out delicious flavours. He spells ‘oishii’ (good-tasting) the old-fashioned way, with the characters that mean ‘beautiful’ and ‘taste’, recalling the sensibilities of an older time. ‘Flavour, not seasoning’ is the chef’s credo. Devotion to Kyoto cuisine that reverberates in all senses.
Ry?-sh?;570-166 Giommachi Minamigawa, Higashiyama-ku, Kyoto, 605-0074, Japan;Kyoto, Japan;¥¥¥¥;Japanese;135.775871;35.00237;81755413557;https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/ryo-sho;https://ryo-sho.jp/;2 Stars;0;Air conditioning,Counter dining;"The chef has made himself a master of old-school Japanese cuisine to take it to the next level. While respecting orthodoxy in wanmono and side dishes, he refers to French flameworking techniques for his grilled items and snacks. Masu salmon is served mi-cuit; beef is rested multiple times during grilling. The sukiya-style interior in a remodelled wooden townhouse is appointed with both antique and modern dishware. ‘Ryosho’ means ‘aspire to the heavens,’ and the sky’s the limit for the chef’s ambition and desire to better himself."
Delta;364 Syggrou Avenue, Athens, 17674, Greece;Athens, Greece;€€€€;Creative, Greek;23.6920295;37.9388218;3,06987E+11;https://guide.michelin.com/en/attica/athens/restaurant/delta;https://www.deltarestaurant.gr;2 Stars;1;Air conditioning,Great view,Interesting wine list,Wheelchair access;Delta is located inside the Stavros Niarchos Foundation Cultural Centre (SNFCC), an avant-garde complex that also houses the National Library of Greece and the Greek National Opera. This restaurant, on the fifth floor of the building, comes as a pleasant surprise thanks to the design of its dining spaces as well as other details such as the exclusively designed bronze bar, the dreamlike trees suspended from the ceiling, and the impressive sea views. Chef George Papazacharias, who has trained in some of Europe’s best restaurants, showcase a creative cuisine that places sustainability at the heart of everything, hence the continual focus on the provenance of ingredients (from their own kitchen garden, locally sourced, responsible fishing etc). The striking cuisine here is focused on a single 12-course tasting menu called Omnivore, which can be savoured alongside an extensive selection of Greek and international wines plus a choice of champagnes.
Matthias;Kollwitzstraße 87, Berlin, 10435, Germany;Berlin, Germany;€€€;Modern Cuisine, French;13.4200023;52.538311;4,93028E+11;https://guide.michelin.com/en/berlin-region/berlin/restaurant/matthias;https://www.matthiasrestaurant.com/;1 Star;0;Terrace;"Set in a lovely building on a corner plot in the Prenzlauer Berg district, this restaurant has a clean-lined, modern look and a trio of industry professionals with a proven track record at the helm. Owner Silvio Pfeufer (formerly head chef at einsunternull) is in charge of the kitchen, co-owner and maître d' Janine Woltaire heads up the friendly service team – and here she has an experienced sommelier at her side in Michael Stiel – the pair were colleagues at Horváth, another Berlin restaurant. The two set menus (one of which is vegetarian) each comprise five or six courses. Alternatively, you can order from the à la carte selection. Diners are presented with a modern, ingredient-led take on traditional French cuisine, the ""scallop, carrot, trout caviar"" being a case in point. The name is a nod to the chef's grandfather, who once had a butcher's shop in this neighbourhood."
Loumi;Ritterstraße 2, Berlin, 10969, Germany;Berlin, Germany;€€€€;International, Asian;13.4133674;52.500686;;https://guide.michelin.com/en/berlin-region/berlin/restaurant/loumi;https://www.loumi-dining.com/loumi-dining;1 Star;0;Counter dining,Terrace;Karl-Louis Kömmler, an ambitious chef who also happens to be self-taught, is at work in this small restaurant in Kreuzberg. He has the support of a motivated young team, who clearly enjoy being part of the pared-back modern dining concept here. The food breaks with culinary conventions – based on the classics, it is strongly influenced by Japanese cuisine – and when it comes to the quality of the ingredients, no compromises are made. The menu comprises eight courses, in addition to specials that can be added on as an upgrade. In the veal sweetbread, they have a true signature dish: finely seasoned, crispy on the outside and creamy-tender on the inside, it is served with N25 Kaluga caviar and habanero sauce, which give the dish a pleasing kick with their brininess and wonderful heat – all in perfect harmony. It is powerful, pared down and original. The wine list may be on the short side, but it features a good selection. The front-of-house team is charming and knowledgeable, and the chefs themselves serve and explain the dishes. The minimalist interior is inviting. Some seats are located at the counter, from which there is a view of the open kitchen. There is a small covered terrace in front of this corner building.
June;Seestraße 10, Übersee, 83236, Germany;Übersee, Germany;€€€;Regional Cuisine, Modern Cuisine;12.4743211;47.8405088;;https://guide.michelin.com/en/bayern/ubersee_1280400/restaurant/june-1213481;https://www.june.restaurant;1 Star;1;Car park,Counter dining,Terrace,Wheelchair access;Rico Birndt has come up with a modern, sustainable concept that makes vegetables the heart of the meal. There are two surprise menus – one comprising eight courses and the other 12 courses. Canned, cured and pickled ingredients also have their role to play. The airy, modern interior and the relaxed atmosphere are certainly inviting, the large window front provides a view of the outside. There are a few seats at the small bar – here, jars of preserves are part of the decoration, in keeping with the philosophy of the house. The chefs join in with serving the food and are happy to present and explain the dishes. In summer the fantastic large terrace area where they grow their own herbs in raised beds is the highlight. Be sure to book!
MiZAR;Katzengasse 7, Würzburg, 97082, Germany;Würzburg, Germany;€€€€;Creative, Seasonal Cuisine;9.9232488;49.7941767;4,99315E+12;https://guide.michelin.com/en/bayern/wurzburg/restaurant/mizar;https://restaurant-mizar.de/;1 Star;0;;In April 2024, Konstantin Kuntzsch – formerly of the restaurant Speiseberg in Halle an der Saale – opened his own place here near the Main River and the old town. His business partner and co-founder Florian Mack is your sommelier and host, heading up the friendly front-of-house team. Ambitious chef Konstantin Kuntzsch conjures up a creative seasonal seven-course set menu. The perfectly pink roasted saddle of Bavarian fawn with a mild hazelnut crust, for example, makes an impression in terms of both technique and flavour. The meat pairs beautifully with the celery and apple flavours and the silky-smooth Japanese hollandaise sauce, and is accompanied by a bold venison jus. The top-quality ingredients and the wines are, for the most part, sourced from the region. The attractive modern interior features eye-catching artwork. Tip: Book well in advance and allow plenty of time (dinner starts at 7pm and ends at 10.30pm).
Showroom;Lilienstraße 6, Munich, 81169, Germany;Munich, Germany;€€€€;Creative;11.587331;48.130492;4,98944E+11;https://guide.michelin.com/en/bayern/mnchen/restaurant/showroom;https://www.showroom-restaurant.de/;1 Star;0;Terrace;"The owners are having a little fun with the name of this restaurant, which, although centrally located not far from the Deutsches Museum, is somewhat tucked away. The pleasingly laid-back, modern and unpretentious vibe allows the cuisine to take centre stage. Led by head chef Dominik Käppeler, the kitchen team serves up elaborate cuisine that abounds with contrasts, meaning there is never a dull moment, with dishes such as ""prawns, chanterelles, fennel, plum"". The surprise menu comprising six to eight courses and based on top-notch ingredients rotates every two weeks. This is complemented by urban-style decor and attentive, relaxed service – interesting wine recommendations are also part of the package."
FAVORITE restaurant;Karl-Weiser-Straße 1, Mainz, 55131, Germany;Mainz, Germany;€€€€;Creative, Mediterranean Cuisine;8.289494;49.9899559;4,96132E+12;https://guide.michelin.com/en/rheinland-pfalz/mainz/restaurant/favorite-restaurant;https://favorite-mainz.de/;1 Star;0;Air conditioning,Car park,Great view,Terrace,Wheelchair access;Located in Stadtpark Mainz and run by the dedicated Barth family, FAVORITE parkhotel is not only a sophisticated place to stay but also has a restaurant that is well worth seeking out. There has been a change in the management of the fine dining restaurant's kitchen. Aniello Casalino showcases his refined Mediterranean touch here, working with fresh, carefully chosen ingredients. Dishes such as open carbonara raviolo with veal sweetbreads, egg yolk cream, Parmesan foam and orange crumble, or cod with baby artichoke, pecorino, fregola and dashi beurre blanc beautifully reflect his style. There is a set menu (also available in a vegetarian version), plus a small à la carte selection. It is also worth nothing that they serve a fairly priced lunch deal, which includes water and espresso. The modern and welcoming decor makes the experience complete. Ask for a table by the window – or dine on the lovely terrace with views of the Rhine and Taunus mountains.
